,AGNO,RBD,COD_REG_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,COD_ENSE2,PROM_ASIS_APR_HOM,PROM_ASIS_APR_MUJ,PROM_ASIS_REP_HOM,PROM_ASIS_REP_MUJ,PROM_ASIS
239,2017,273,2,2,1,1,1,2,"90,25","90,75", , ,"90,4642857142857"
240,2017,274,2,2,1,1,1,2,"94,3846153846154",91, , ,"93,2"
241,2017,275,2,2,1,1,1,2,100,100, , ,100
242,2017,276,2,2,1,1,1,2,100,100, , ,100
243,2017,277,2,2,1,1,1,2,"98,5555555555556","97,3571428571429", , ,"97,8260869565217"
244,2017,279,2,1,1,0,1,7,"94,4448757763975","93,5711462450593","78,8292682926829","63,25","93,7221920781335"
245,2017,279,2,1,1,0,1,8,"79,9803921568627","82,9333333333333","69,2",70,"79,8211382113821"
246,2017,280,2,1,1,0,1,2,"91,0666666666667","92,9142857142857",76,67,"90,0547945205479"
247,2017,280,2,1,1,0,1,7,"90,9184466019418","90,0995024875622","77,1489361702128","67,3225806451613","89,3528428093645"
248,2017,280,2,1,1,0,1,8,"95,2105263157895","95,5094339622642","83,2666666666667","77,6363636363636","91,893023255814"
249,2017,282,2,1,1,0,1,3,100, , , ,100
250,2017,282,2,1,1,0,1,6,100,100, , ,100
251,2017,283,2,1,1,0,1,7,"90,7455621301775","91,1037851037851","71,9090909090909","60,8888888888889","90,0438596491228"
252,2017,283,2,1,1,0,1,8,"82,9142857142857","83,5522388059701","60,0769230769231","54,5116279069767","78,1541095890411"
253,2017,284,2,1,1,0,1,2,"85,096256684492","87,8021390374332","84,4054054054054","79,8571428571429","86,0541176470588"
254,2017,284,2,1,1,0,1,5,"88,1889400921659","86,6306818181818","82,9210526315789",80,"86,8191964285714"
255,2017,285,2,1,1,0,1,2,"88,9055555555556","89,953781512605",74,"67,3","88,4436936936937"
256,2017,285,2,1,1,0,1,5,"89,3145161290323","87,8838028169014","74,9677419354839","73,2352941176471","87,3758620689655"
257,2017,286,2,1,1,0,1,5,"91,0222222222222","87,3","86,25","80,5714285714286","87,3066666666667"
258,2017,286,2,1,1,0,1,6,"71,8333333333333","71,3076923076923","36,7647058823529","56,3333333333333","65,141592920354"
259,2017,286,2,1,1,0,1,7,"93,1136363636364","91,6590909090909","75,5",90,"92,3555555555556"
260,2017,286,2,1,1,0,1,7,"92,5849056603774","90,9204545454545","82,8666666666667","75,6363636363636","90,5551948051948"
261,2017,286,2,1,1,0,1,8,"69,3333333333333","78,0909090909091","37,75",26,"58,5925925925926"
262,2017,287,2,1,1,0,1,2,"90,7058823529412","92,0666666666667",59, ,"90,671875"
263,2017,287,2,1,1,0,1,5,"91,7342465753425","90,7667210440457","75,0666666666667","69,1818181818182","90,4180569185476"
264,2017,288,2,1,1,0,1,2,"95,5517799352751","96,0970394736842",94,87,"95,7948094079481"
265,2017,289,2,1,1,0,1,2,"89,6213991769547","90,4626168224299","78,3571428571429",81,"89,5418410041841"
266,2017,291,2,1,1,0,1,2,"91,7614840989399","92,4106813996317","82,375",80,"91,7842105263158"
267,2017,292,2,1,1,0,1,2,"92,0703125","92,6666666666667","80,2758620689655","76,6111111111111","91,2760416666667"
268,2017,293,2,1,1,0,1,2,"88,672384219554","89,496138996139","77,0909090909091","76,8888888888889","88,7305653710247"
269,2017,294,2,1,1,0,1,2,"90,8785529715762","90,2966751918159","81,75","80,9473684210526","90,0642424242424"
